Wall time,Step,Value
1508726445.4344554,71270,573.5999755859375
1508726453.3625767,72270,738.0
1508726462.011406,73270,907.5999755859375
1508726470.0389466,74270,907.5999755859375
1508726477.965974,75270,1000.0
1508726485.899975,76270,1000.0
1508726492.482,76956,937.2000122070312
1508726500.587501,77956,937.2000122070312
1508726508.672354,78956,937.2000122070312
1508726515.2619092,79783,902.5999755859375
1508726524.2117105,80783,902.5999755859375
1508726532.046658,81783,965.4000244140625
1508726539.98229,82783,965.4000244140625
1508726547.9564738,83783,965.4000244140625
1508726549.9434721,83906,824.5999755859375
1508726551.0278406,84035,650.4000244140625
1508726551.2968419,84069,457.20001220703125
1508726552.411907,84207,284.79998779296875
1508726554.0358324,84282,99.80000305175781
1508726554.927766,84387,96.19999694824219
1508726555.9213717,84476,88.19999694824219
1508726556.9156675,84571,100.4000015258789
1508726558.1800978,84596,77.80000305175781
1508726559.0191765,84703,84.19999694824219
1508726559.281572,84738,70.19999694824219
1508726559.6096482,84781,61.0
1508726563.0483804,85042,94.19999694824219
1508726563.8001666,85136,108.0
1508726565.7694287,85375,134.39999389648438
1508726566.4561772,85451,142.60000610351562
1508726568.3452675,85548,153.39999389648438
1508726568.896482,85613,114.19999694824219
1508726569.650195,85704,113.5999984741211
1508726570.2816594,85776,80.19999694824219
1508726572.571242,85928,95.4000015258789
1508726574.2935271,86146,119.5999984741211
1508726575.527105,86302,137.8000030517578
1508726575.913259,86356,130.39999389648438
1508726577.2312577,86398,124.4000015258789
1508726577.6215765,86447,103.80000305175781
1508726579.4925356,86678,106.4000015258789
1508726587.8421068,87678,275.20001220703125
1508726589.3218832,87741,277.0
1508726589.707479,87791,278.6000061035156
1508726590.1051812,87840,278.6000061035156
1508726590.5899715,87900,244.39999389648438
1508726592.2063763,87970,58.400001525878906
1508726593.1691399,88080,67.80000305175781
1508726593.7671797,88152,72.19999694824219
1508726594.3842523,88222,76.4000015258789
1508726595.6821632,88265,73.0
1508726596.1435955,88319,69.80000305175781
1508726596.8314877,88402,64.4000015258789
1508726597.3236244,88457,61.0
1508726599.219584,88568,69.19999694824219
1508726599.6442916,88617,70.4000015258789
1508726600.3385,88699,76.0
1508726600.4487383,88714,62.400001525878906
1508726606.5543263,89323,173.1999969482422
1508726609.4213932,89668,220.0
1508726617.8470416,90668,410.20001220703125
1508726620.637523,90993,458.79998779296875
1508726622.618054,91107,478.6000061035156
1508726630.8256035,92107,556.7999877929688
1508726638.231187,93023,671.0
1508726641.3154666,93404,547.2000122070312
1508726649.8415956,94404,682.2000122070312
1508726657.7401419,95404,859.4000244140625
1508726665.8351877,96404,859.4000244140625
1508726674.480329,97404,876.2000122070312
1508726683.7106102,98404,1000.0
1508726695.5998356,99404,1000.0
1508726706.2496612,100404,1000.0
1508726718.1618147,101404,1000.0
1508726727.565254,102404,1000.0
1508726735.5104198,103404,1000.0
1508726743.5443218,104404,1000.0
1508726746.0826337,104723,863.7999877929688
1508726752.5958025,105413,801.7999877929688
1508726755.8311105,105816,682.4000244140625
1508726758.6824017,106169,553.0
1508726762.8729014,106691,457.3999938964844
1508726772.0212448,107691,593.5999755859375
1508726772.5716648,107757,468.79998779296875
1508726780.538786,108757,588.2000122070312
1508726788.6098866,109757,717.5999755859375
1508726795.2536106,110466,755.0
1508726802.9505413,111466,755.0
1508726810.9510105,112466,941.7999877929688
1508726819.070785,113466,941.7999877929688
1508726827.9793947,114466,941.7999877929688
1508726836.3139343,115466,1000.0
1508726843.4506447,116466,1000.0
1508726851.2544131,117466,1000.0
1508726858.2682703,118199,946.5999755859375
1508726866.3680918,119199,946.5999755859375
1508726869.915626,119634,833.5999755859375
1508726873.771379,120125,731.7999877929688
1508726876.508285,120340,574.7999877929688
1508726883.9153113,121249,610.0
1508726888.6892824,121827,525.5999755859375
